t,x,y
16.997,-0.515,-3.354
17.017,-0.535,-3.363
17.037,-0.525,-3.361
17.057,-0.493,-3.337
17.077,-0.466,-3.299
17.097,-0.455,-3.251
17.117,-0.466,-3.202
17.137,-0.503,-3.156
17.157,-0.554,-3.126
17.177,-0.601,-3.110
17.197,-0.630,-3.101
17.217,-0.634,-3.092
17.237,-0.615,-3.080
17.257,-0.583,-3.062
17.277,-0.535,-3.034
17.297,-0.479,-2.998
17.317,-0.430,-2.958
17.337,-0.395,-2.909
17.357,-0.383,-2.858
17.377,-0.407,-2.804
17.397,-0.474,-2.757
17.417,-0.562,-2.716
17.437,-0.650,-2.683
17.457,-0.721,-2.649
17.477,-0.771,-2.601
17.497,-0.790,-2.527
17.518,-0.778,-2.435
17.538,-0.746,-2.331
17.558,-0.693,-2.229
17.578,-0.608,-2.153
17.598,-0.494,-2.113
17.618,-0.372,-2.098
17.638,-0.251,-2.093
17.658,-0.136,-2.097
17.678,-0.038,-2.093
17.698,0.033,-2.067
17.718,0.096,-2.025
17.738,0.154,-1.975
17.758,0.205,-1.915
17.778,0.242,-1.851
17.798,0.266,-1.804
17.818,0.267,-1.774
17.838,0.229,-1.757
17.858,0.160,-1.751
17.878,0.077,-1.753
17.898,-0.012,-1.748
17.918,-0.091,-1.738
17.938,-0.121,-1.735
17.958,-0.109,-1.742
17.978,-0.065,-1.760
17.998,0.007,-1.792
18.018,0.089,-1.838
18.038,0.152,-1.874
18.058,0.195,-1.891
18.078,0.221,-1.886
18.098,0.233,-1.857
18.118,0.245,-1.802
18.138,0.265,-1.738
18.158,0.294,-1.679
18.178,0.326,-1.631
18.198,0.356,-1.596
18.218,0.365,-1.572
18.238,0.354,-1.554
18.258,0.319,-1.532
18.278,0.266,-1.505
18.298,0.203,-1.485
18.318,0.143,-1.475
18.338,0.095,-1.478
18.358,0.065,-1.493
18.378,0.055,-1.512
18.398,0.065,-1.523
18.418,0.091,-1.508
18.438,0.129,-1.468
