t,x,y
18.939,-0.692,0.355
18.959,-0.750,0.363
18.979,-0.809,0.357
18.999,-0.857,0.347
19.019,-0.886,0.342
19.039,-0.889,0.345
19.059,-0.879,0.356
19.079,-0.867,0.377
19.099,-0.864,0.397
19.119,-0.866,0.412
19.139,-0.876,0.426
19.159,-0.882,0.438
19.179,-0.886,0.450
19.199,-0.882,0.465
19.219,-0.874,0.481
19.239,-0.857,0.495
19.259,-0.831,0.500
19.279,-0.798,0.486
19.299,-0.762,0.450
19.319,-0.727,0.389
19.339,-0.698,0.280
19.359,-0.684,0.128
19.379,-0.685,-0.049
19.399,-0.690,-0.214
19.419,-0.693,-0.355
19.439,-0.686,-0.413
19.459,-0.666,-0.368
19.479,-0.627,-0.238
19.499,-0.582,-0.078
19.520,-0.532,0.100
19.540,-0.485,0.252
19.560,-0.449,0.339
19.580,-0.429,0.371
19.600,-0.424,0.378
19.620,-0.434,0.365
19.640,-0.453,0.343
19.660,-0.463,0.335
19.680,-0.458,0.333
19.700,-0.435,0.326
19.720,-0.396,0.304
19.740,-0.343,0.270
19.760,-0.287,0.222
19.780,-0.234,0.169
19.800,-0.185,0.120
19.820,-0.140,0.081
19.840,-0.103,0.054
19.860,-0.072,0.036
19.880,-0.048,0.024
19.900,-0.031,0.017
19.920,-0.020,0.012
19.940,-0.013,0.008
19.960,-0.008,0.006
19.980,-0.005,0.004
20.000,-0.004,0.003
